Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
7680,8192,1,0.001,10.465,10.135,10.058
7680,8192,2,0.002,8.065,8.007,8.031
7680,8192,3,0.002,8.093,8.012,8.01
7680,8192,5,0.002,8.132,8.067,7.965
7680,8192,10,0.002,8.145,8.006,7.939
7680,8192,12,0.002,8.105,8.022,8.029
7680,8192,20,0.002,8.33,8.239,8.189
7680,8192,30,0.002,8.619,8.477,8.337
7680,8192,50,0.002,9.077,8.902,8.64
7680,8192,80,0.003,10.004,9.663,8.981
7680,8192,100,0.003,10.515,10.351,9.173
7680,8192,200,0.005,13.686,13.853,10.548
