Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
3072,8192,1,0.002,4.105,4.055,4.02
3072,8192,2,0.001,3.266,3.247,3.23
3072,8192,3,0.002,3.277,3.229,3.254
3072,8192,5,0.002,3.284,3.246,3.239
3072,8192,10,0.002,3.367,3.292,3.31
3072,8192,12,0.002,3.436,3.429,3.371
3072,8192,20,0.002,3.589,3.559,3.524
3072,8192,30,0.002,3.87,3.793,3.633
3072,8192,50,0.002,4.4,4.283,3.902
3072,8192,80,0.003,5.071,4.784,4.263
3072,8192,100,0.003,5.524,5.398,4.595
3072,8192,200,0.005,8.642,8.51,6.521
