Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
30720,8192,1,0.002,43.885,43.345,41.762
30720,8192,2,0.002,34.15,34.795,34.507
30720,8192,3,0.002,34.18,33.91,33.592
30720,8192,5,0.002,34.132,33.691,33.681
30720,8192,10,0.002,34.052,33.689,33.705
30720,8192,12,0.002,34.133,34.017,33.719
30720,8192,20,0.003,34.483,34.028,33.939
30720,8192,30,0.002,34.647,34.37,34.231
30720,8192,50,0.003,35.005,34.738,34.419
30720,8192,80,0.003,36.095,35.405,34.823
30720,8192,100,0.004,36.84,36.605,35.134
30720,8192,200,0.006,39.848,39.302,36.641
