Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
768,8192,1,0.002,1.146,1.069,1.091
768,8192,2,0.002,0.936,0.952,0.962
768,8192,3,0.002,0.964,0.94,0.937
768,8192,5,0.002,1.059,1.011,0.953
768,8192,10,0.002,1.303,1.065,1.03
768,8192,12,0.002,1.123,1.091,1.096
768,8192,20,0.002,1.29,1.267,1.208
768,8192,30,0.002,1.586,1.551,1.339
768,8192,50,0.002,1.927,1.953,1.624
768,8192,80,0.003,2.624,2.667,2.189
768,8192,100,0.003,3.382,3.19,2.64
768,8192,200,0.005,6.348,6.05,4.653
