Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
30720,8192,1,0.003,43.105,42.731,41.993
30720,8192,2,0.002,34.04,33.62,33.535
30720,8192,3,0.002,33.976,33.447,33.484
30720,8192,5,0.002,33.877,33.46,33.489
30720,8192,10,0.002,33.871,33.503,33.537
30720,8192,12,0.002,33.82,33.597,33.596
30720,8192,20,0.002,34.25,34.006,33.785
30720,8192,30,0.003,34.282,34.147,33.957
30720,8192,50,0.003,34.882,34.381,35.008
30720,8192,80,0.004,35.528,35.544,34.775
30720,8192,100,0.004,36.167,35.674,34.918
30720,8192,200,0.007,40.022,39.791,36.429
