Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
3072,8192,1,0.002,4.064,4.088,4.035
3072,8192,2,0.002,3.285,3.245,3.292
3072,8192,3,0.002,3.269,3.265,3.277
3072,8192,5,0.002,3.278,3.268,3.289
3072,8192,10,0.002,3.372,3.268,3.335
3072,8192,12,0.002,3.402,3.353,3.381
3072,8192,20,0.002,3.554,3.469,3.481
3072,8192,30,0.002,3.799,3.783,3.633
3072,8192,50,0.003,4.219,4.163,3.875
3072,8192,80,0.003,4.899,4.833,4.217
3072,8192,100,0.003,5.54,5.514,4.598
3072,8192,200,0.006,8.579,8.61,6.373
