Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
50688,8192,1,0.002,74.23,72.486,72.347
50688,8192,2,0.002,59.397,58.586,58.689
50688,8192,3,0.002,59.103,58.75,58.472
50688,8192,5,0.002,58.958,58.701,58.555
50688,8192,10,0.002,59.191,58.524,58.581
50688,8192,12,0.002,59.085,58.562,58.567
50688,8192,20,0.002,59.66,59.273,58.714
50688,8192,30,0.003,59.586,58.799,59.075
50688,8192,50,0.003,60.051,59.583,59.242
50688,8192,80,0.004,61.047,60.312,59.767
50688,8192,100,0.003,61.383,60.911,60.236
50688,8192,200,0.007,65.259,64.496,61.894
