Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
7680,8192,1,0.002,10.201,10.074,10.082
7680,8192,2,0.001,8.103,7.989,8.004
7680,8192,3,0.002,8.103,8.076,8.025
7680,8192,5,0.002,8.118,8.103,7.943
7680,8192,10,0.002,8.098,7.995,7.953
7680,8192,12,0.002,8.11,8.083,8.074
7680,8192,20,0.002,8.386,8.266,8.167
7680,8192,30,0.002,8.641,8.554,8.303
7680,8192,50,0.002,9.036,8.912,8.595
7680,8192,80,0.003,9.828,9.755,9.042
7680,8192,100,0.003,10.405,10.17,9.192
7680,8192,200,0.006,13.743,14.047,10.457
