Image Height (pixels),Image Width (pixels),Replication Count,Whole-Level Memory (MB),LevelByLevel Memory (MB),Taskflow Memory (MB),Whole-Level CPU (%),LevelByLevel CPU (%), Taskflow CPU (%)
3072,8192,1,426.93,427.316,428.348,14.1241,7.86697,7.92821
3072,8192,2,434.496,434.648,436.656,15.4607,9.44468,9.4842
3072,8192,3,432.289,443.316,436.832,15.6019,9.74026,9.62058
3072,8192,5,440.07,444.754,439.246,16.3603,10.5221,10.6747
3072,8192,10,461.25,471.594,474.246,18.9441,13.2224,13.1266
3072,8192,12,493.672,498.004,509.836,20.3264,14.2909,14.4719
3072,8192,20,580.664,580.23,498.855,23.2248,17.4634,16.521
3072,8192,30,665.695,668.148,503.035,26.5359,20.4451,19.4531
3072,8192,50,814.203,811.082,513.473,32.9636,27.3211,24.7651
3072,8192,80,1076.12,1025.34,500.312,38.776,35.342,31.2458
3072,8192,100,1129.69,1147.36,519.383,44.1847,40.2997,35.9017
3072,8192,200,1586.86,1654.52,508.359,52.3154,54.1019,48.3038
