Image Height (pixels),Image Width (pixels),Replication Count,Whole-Level Memory (MB),LevelByLevel Memory (MB),Taskflow Memory (MB),Whole-Level CPU (%),LevelByLevel CPU (%), Taskflow CPU (%)
30720,8192,1,3675.4,3676.48,3677.73,14.8459,8.27989,8.27446
30720,8192,2,3692,3692.02,3689.86,15.9932,9.61841,9.56402
30720,8192,3,3698.75,3705.97,3701.08,15.986,9.64559,9.62229
30720,8192,5,3692,3689.36,3692.82,16.0921,9.67136,9.71827
30720,8192,10,3719.57,3714.99,3708.59,16.3748,10.0427,10.037
30720,8192,12,3730.15,3743.13,3742.15,16.4765,10.0961,10.2479
30720,8192,20,3730.83,3734.04,3719.57,16.7813,10.5111,10.3098
30720,8192,30,3754,3757.12,3739.77,17.2681,11.0244,10.6981
30720,8192,50,3779.31,3780.53,3759.09,18.0583,11.8347,11.3179
30720,8192,80,3851.44,3858.8,3735.86,19.4648,13.0732,12.2557
30720,8192,100,3901.12,3899.4,3755.68,20.0363,14.0154,12.7087
30720,8192,200,4822.6,4832.71,3747.63,23.7992,17.9656,15.3237
