Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
30720,8192,1,0.002,43.297,42.493,41.397
30720,8192,2,0.002,33.92,33.568,33.558
30720,8192,3,0.002,33.848,33.54,33.428
30720,8192,5,0.002,33.939,33.409,33.499
30720,8192,10,0.002,33.836,33.683,33.583
30720,8192,12,0.002,33.986,33.755,33.616
30720,8192,20,0.002,34.174,33.909,33.81
30720,8192,30,0.003,34.308,34.137,33.9
30720,8192,50,0.003,34.889,34.506,34.313
30720,8192,80,0.004,35.579,35.396,34.646
30720,8192,100,0.004,36.104,36.005,34.913
30720,8192,200,0.007,39.67,39.354,36.384
