Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
50688,8192,1,0.002,74.296,72.224,71.973
50688,8192,2,0.002,59.444,58.733,58.613
50688,8192,3,0.002,59.004,58.475,58.442
50688,8192,5,0.002,59.078,58.558,58.808
50688,8192,10,0.002,58.892,58.565,58.586
50688,8192,12,0.002,59.332,58.66,58.573
50688,8192,20,0.002,59.305,58.841,58.766
50688,8192,30,0.003,59.581,59.285,59.015
50688,8192,50,0.003,59.955,59.61,59.192
50688,8192,80,0.004,60.835,60.317,59.77
50688,8192,100,0.003,62.055,61.291,60.03
50688,8192,200,0.007,65.161,64.337,61.974
