Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
3072,8192,1,0.002,4.075,4.006,4.078
3072,8192,2,0.002,3.275,3.253,3.247
3072,8192,3,0.002,3.282,3.231,3.256
3072,8192,5,0.002,3.271,3.238,3.256
3072,8192,10,0.002,3.36,3.298,3.319
3072,8192,12,0.002,3.402,3.351,3.422
3072,8192,20,0.002,3.592,3.531,3.499
3072,8192,30,0.002,3.843,3.849,3.636
3072,8192,50,0.002,4.234,4.188,3.857
3072,8192,80,0.003,5.08,4.947,4.219
3072,8192,100,0.003,5.498,5.491,4.594
3072,8192,200,0.005,8.537,8.65,6.515
