Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
7680,8192,1,0.002,10.222,10.043,10.048
7680,8192,2,0.001,8.142,8.097,8.023
7680,8192,3,0.002,8.09,8.041,8.064
7680,8192,5,0.002,8.16,8.074,7.962
7680,8192,10,0.002,8.099,8.032,7.98
7680,8192,12,0.002,8.132,8.039,8.032
7680,8192,20,0.002,8.267,8.255,8.187
7680,8192,30,0.002,8.6,8.552,8.343
7680,8192,50,0.002,8.967,9.181,8.587
7680,8192,80,0.003,9.715,9.742,9.003
7680,8192,100,0.003,10.181,9.986,9.158
7680,8192,200,0.006,13.782,14.266,10.498
