Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
10752,8192,1,0.002,14.339,14.185,14.153
10752,8192,2,0.002,11.397,11.267,11.274
10752,8192,3,0.002,11.271,11.082,11.148
10752,8192,5,0.002,11.261,11.204,11.184
10752,8192,10,0.002,11.32,11.192,11.139
10752,8192,12,0.002,11.33,11.249,11.305
10752,8192,20,0.002,11.649,11.553,11.392
10752,8192,30,0.002,11.785,11.671,11.534
10752,8192,50,0.003,12.349,12.216,11.846
10752,8192,80,0.003,12.998,13.004,12.189
10752,8192,100,0.003,13.52,13.145,12.396
10752,8192,200,0.006,16.919,17.046,13.743
