Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
768,8192,1,0.002,1.145,1.072,1.087
768,8192,2,0.001,0.924,0.912,0.923
768,8192,3,0.002,0.935,0.923,0.925
768,8192,5,0.002,0.993,0.992,0.947
768,8192,10,0.002,1.024,1.013,1.014
768,8192,12,0.002,1.089,1.07,1.086
768,8192,20,0.002,1.326,1.246,1.174
768,8192,30,0.002,1.497,1.485,1.375
768,8192,50,0.002,1.967,1.861,1.622
768,8192,80,0.003,2.619,2.499,2.199
768,8192,100,0.003,3.319,3.092,2.626
768,8192,200,0.006,6.702,6.288,4.566
