Image Height (pixels),Image Width (pixels),Replication Count,Whole-Level Memory (MB),LevelByLevel Memory (MB),Taskflow Memory (MB),Whole-Level CPU (%),LevelByLevel CPU (%), Taskflow CPU (%)
50688,8192,1,6016.96,6018.33,6018.99,14.9895,8.3054,8.2946
50688,8192,2,6032.98,6034.41,6033.23,16.039,9.50946,9.55586
50688,8192,3,6045.45,6047.64,6045.27,16.0584,9.57148,9.56073
50688,8192,5,6071.82,6062.99,6073.49,16.0307,9.61936,9.59445
50688,8192,10,6070.56,6065.14,6070.76,16.2143,9.80901,9.78096
50688,8192,12,6086.67,6096.96,6101.41,16.2518,9.85764,9.87293
50688,8192,20,6102.49,6056.21,6073.53,16.4474,10.0761,10.0228
50688,8192,30,6109.61,6087.79,6064.64,16.7138,10.3899,10.177
50688,8192,50,6137.46,6152.59,6108.02,17.2,10.8379,10.6182
50688,8192,80,6160.87,6213,6082.87,17.9276,11.5687,11.0387
50688,8192,100,6208.61,6210.37,6111.76,18.3476,12.19,11.3515
50688,8192,200,6675.45,6691.52,6099.72,20.7124,14.6457,12.9666
