Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
3072,8192,1,0.002,4.083,4.019,4.079
3072,8192,2,0.002,3.277,3.248,3.281
3072,8192,3,0.002,3.281,3.266,3.29
3072,8192,5,0.002,3.295,3.254,3.266
3072,8192,10,0.002,3.421,3.303,3.288
3072,8192,12,0.002,3.398,3.402,3.424
3072,8192,20,0.002,3.62,3.49,3.671
3072,8192,30,0.002,3.985,4.046,3.643
3072,8192,50,0.002,4.329,4.16,3.886
3072,8192,80,0.003,4.986,4.878,4.243
3072,8192,100,0.003,5.597,5.671,4.637
3072,8192,200,0.005,8.864,8.48,6.459
