Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
7680,8192,1,0.002,10.195,10.063,10.113
7680,8192,2,0.002,8.168,8.031,8.015
7680,8192,3,0.002,8.091,7.992,8.043
7680,8192,5,0.002,8.112,8.069,7.985
7680,8192,10,0.002,8.087,8.004,7.926
7680,8192,12,0.002,8.131,8.046,8.044
7680,8192,20,0.002,8.392,8.344,8.185
7680,8192,30,0.002,8.518,8.505,8.322
7680,8192,50,0.002,9.065,8.897,8.666
7680,8192,80,0.003,9.781,9.733,9.01
7680,8192,100,0.003,10.414,10.08,9.231
7680,8192,200,0.007,13.885,13.615,10.499
