Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
10752,8192,1,0.002,14.312,14.176,14.153
10752,8192,2,0.002,11.416,11.243,11.239
10752,8192,3,0.002,11.258,11.085,11.113
10752,8192,5,0.002,11.193,11.18,11.13
10752,8192,10,0.002,11.276,11.169,11.225
10752,8192,12,0.002,11.321,11.285,11.262
10752,8192,20,0.002,11.554,11.516,11.399
10752,8192,30,0.002,11.843,11.67,11.564
10752,8192,50,0.003,12.332,12.176,11.784
10752,8192,80,0.003,12.976,12.939,12.137
10752,8192,100,0.003,13.551,13.334,12.425
10752,8192,200,0.006,17.07,17.018,13.71
