Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
768,8192,1,0.002,1.15,1.095,1.083
768,8192,2,0.002,0.938,0.919,0.92
768,8192,3,0.002,0.931,0.919,0.922
768,8192,5,0.002,0.946,0.937,0.943
768,8192,10,0.002,1.06,1.014,0.996
768,8192,12,0.002,1.09,1.068,1.085
768,8192,20,0.002,1.257,1.286,1.185
768,8192,30,0.002,1.534,1.468,1.379
768,8192,50,0.002,1.917,1.836,1.622
768,8192,80,0.003,2.635,2.544,2.182
768,8192,100,0.003,3.33,3.254,2.598
768,8192,200,0.005,6.718,6.422,4.598
