Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
50688,8192,1,0.002,74.428,72.23,71.929
50688,8192,2,0.002,60.545,58.512,58.559
50688,8192,3,0.002,59.307,58.682,58.482
50688,8192,5,0.002,58.952,58.52,58.452
50688,8192,10,0.002,58.963,58.593,58.477
50688,8192,12,0.002,59.097,58.525,58.589
50688,8192,20,0.002,59.25,59.675,58.748
50688,8192,30,0.003,59.578,59.302,58.91
50688,8192,50,0.003,60.101,59.618,59.175
50688,8192,80,0.004,61.173,60.933,60.085
50688,8192,100,0.004,61.842,61.507,60.333
50688,8192,200,0.007,65.781,65.043,61.814
