Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
50688,8192,1,0.002,74.703,72.348,72.554
50688,8192,2,0.002,59.327,58.689,58.656
50688,8192,3,0.002,58.957,58.695,58.66
50688,8192,5,0.002,59.217,58.619,58.566
50688,8192,10,0.002,59.133,58.802,58.698
50688,8192,12,0.002,59.124,58.571,58.704
50688,8192,20,0.002,59.576,58.916,59.047
50688,8192,30,0.003,59.645,59.109,58.985
50688,8192,50,0.003,60.228,59.861,59.503
50688,8192,80,0.003,60.897,61.077,60.246
50688,8192,100,0.004,61.505,61.404,60.218
50688,8192,200,0.006,65.399,65.059,61.955
