Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
3072,8192,1,0.002,4.069,4.004,4.016
3072,8192,2,0.002,3.269,3.271,3.244
3072,8192,3,0.002,3.261,3.276,3.264
3072,8192,5,0.002,3.279,3.274,3.244
3072,8192,10,0.002,3.46,3.321,3.318
3072,8192,12,0.002,3.412,3.365,3.424
3072,8192,20,0.002,3.595,3.587,3.495
3072,8192,30,0.002,3.828,3.789,3.628
3072,8192,50,0.002,4.311,4.222,3.923
3072,8192,80,0.003,4.93,4.925,4.364
3072,8192,100,0.003,5.593,5.412,4.639
3072,8192,200,0.005,8.866,8.795,6.409
