Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
768,8192,1,0.002,1.137,1.083,1.078
768,8192,2,0.002,0.925,0.913,0.922
768,8192,3,0.002,0.937,0.922,0.924
768,8192,5,0.002,0.943,0.94,0.95
768,8192,10,0.002,1.032,1.018,1.015
768,8192,12,0.002,1.108,1.08,1.075
768,8192,20,0.002,1.336,1.255,1.205
768,8192,30,0.002,1.517,1.438,1.35
768,8192,50,0.002,1.951,1.882,1.626
768,8192,80,0.003,2.609,2.657,2.192
768,8192,100,0.003,3.376,3.126,2.633
768,8192,200,0.005,6.472,6.037,4.611
