Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
30720,8192,1,0.002,43.058,42.311,41.348
30720,8192,2,0.002,33.961,33.508,33.464
30720,8192,3,0.002,33.938,33.511,33.577
30720,8192,5,0.002,33.862,33.519,33.562
30720,8192,10,0.002,33.832,33.577,33.598
30720,8192,12,0.002,33.978,33.639,33.544
30720,8192,20,0.002,34.306,33.961,33.803
30720,8192,30,0.003,34.336,34.185,33.983
30720,8192,50,0.003,34.907,34.54,34.264
30720,8192,80,0.004,35.629,35.309,34.582
30720,8192,100,0.004,36.057,35.851,34.983
30720,8192,200,0.006,39.583,39.119,36.365
