Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
7680,8192,1,0.002,10.259,10.066,10.108
7680,8192,2,0.002,8.154,8.062,8.09
7680,8192,3,0.002,8.098,8.112,8.056
7680,8192,5,0.002,8.118,8.113,7.985
7680,8192,10,0.002,8.099,8.002,8.02
7680,8192,12,0.002,8.116,8.051,8.089
7680,8192,20,0.002,8.383,8.232,8.234
7680,8192,30,0.002,8.593,8.554,8.323
7680,8192,50,0.002,9.038,8.915,8.622
7680,8192,80,0.003,9.813,9.694,9.048
7680,8192,100,0.003,10.243,10.035,9.154
7680,8192,200,0.005,13.663,13.863,10.563
