Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
10752,8192,1,0.002,14.415,14.228,14.193
10752,8192,2,0.002,11.461,11.309,11.281
10752,8192,3,0.002,11.271,11.136,11.22
10752,8192,5,0.002,11.285,11.132,11.151
10752,8192,10,0.002,11.296,11.287,11.241
10752,8192,12,0.002,11.373,11.305,11.25
10752,8192,20,0.002,11.703,11.478,11.411
10752,8192,30,0.002,11.804,11.766,11.542
10752,8192,50,0.003,12.214,12.208,11.839
10752,8192,80,0.003,12.819,12.837,12.157
10752,8192,100,0.003,13.474,13.337,12.443
10752,8192,200,0.006,16.893,17.067,13.717
