Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
768,8192,1,0.002,1.139,1.088,1.078
768,8192,2,0.002,0.936,0.911,0.917
768,8192,3,0.002,0.938,0.932,0.922
768,8192,5,0.002,0.952,0.948,0.944
768,8192,10,0.002,1.039,1.016,0.983
768,8192,12,0.002,1.092,1.087,1.104
768,8192,20,0.002,1.271,1.194,1.229
768,8192,30,0.002,1.53,1.463,1.332
768,8192,50,0.002,1.919,1.901,1.642
768,8192,80,0.003,2.571,2.609,2.148
768,8192,100,0.003,3.221,3.364,2.599
768,8192,200,0.005,6.295,6.215,4.599
