Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
10752,8192,1,0.002,14.463,14.361,14.295
10752,8192,2,0.002,11.436,11.393,11.283
10752,8192,3,0.002,11.253,11.111,11.12
10752,8192,5,0.002,11.254,11.109,11.139
10752,8192,10,0.002,11.348,11.207,11.23
10752,8192,12,0.002,11.339,11.238,11.232
10752,8192,20,0.002,11.559,11.389,11.441
10752,8192,30,0.002,11.805,11.791,11.508
10752,8192,50,0.003,12.24,12.138,11.868
10752,8192,80,0.003,13.556,13.007,12.275
10752,8192,100,0.003,13.491,13.427,12.438
10752,8192,200,0.006,16.751,16.938,13.661
