Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
50688,8192,1,0.002,74.42,72.253,72.06
50688,8192,2,0.002,59.202,58.728,58.588
50688,8192,3,0.002,59.106,58.633,58.503
50688,8192,5,0.002,58.965,58.616,58.58
50688,8192,10,0.002,59.04,58.512,58.513
50688,8192,12,0.002,58.939,59.017,58.473
50688,8192,20,0.002,59.495,58.868,58.778
50688,8192,30,0.003,59.36,58.83,58.921
50688,8192,50,0.002,59.909,59.632,59.25
50688,8192,80,0.004,60.841,60.441,59.724
50688,8192,100,0.004,61.532,61.688,60.15
50688,8192,200,0.006,65.04,64.665,61.869
