Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
3072,8192,1,0.002,4.087,4.021,4.014
3072,8192,2,0.002,3.324,3.414,3.381
3072,8192,3,0.002,3.288,3.262,3.269
3072,8192,5,0.002,3.296,3.259,3.277
3072,8192,10,0.002,3.347,3.284,3.34
3072,8192,12,0.002,3.412,3.369,3.495
3072,8192,20,0.002,3.609,3.533,3.515
3072,8192,30,0.002,3.924,3.84,3.643
3072,8192,50,0.002,4.295,4.22,3.838
3072,8192,80,0.003,5.051,4.878,4.257
3072,8192,100,0.003,5.523,5.53,4.655
3072,8192,200,0.005,8.605,8.697,6.638
