Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
7680,8192,1,0.002,10.125,10.056,9.992
7680,8192,2,0.002,8.062,8.025,8.069
7680,8192,3,0.002,8.127,8.013,8.023
7680,8192,5,0.002,8.128,8.092,7.954
7680,8192,10,0.002,8.112,7.959,7.989
7680,8192,12,0.002,8.146,8.008,8.04
7680,8192,20,0.003,8.338,8.24,8.193
7680,8192,30,0.002,8.552,8.454,8.354
7680,8192,50,0.002,9.063,8.933,8.585
7680,8192,80,0.003,9.754,9.764,9.01
7680,8192,100,0.003,10.228,10.228,9.176
7680,8192,200,0.006,13.446,13.59,10.512
