Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
30720,8192,1,0.002,43.225,42.749,41.449
30720,8192,2,0.002,33.859,33.475,33.493
30720,8192,3,0.002,33.862,33.738,33.385
30720,8192,5,0.002,33.833,33.528,33.492
30720,8192,10,0.002,33.722,33.58,33.577
30720,8192,12,0.002,33.889,33.577,33.439
30720,8192,20,0.002,34.102,34.268,33.711
30720,8192,30,0.003,34.385,34.002,34.178
30720,8192,50,0.003,34.701,34.461,34.213
30720,8192,80,0.004,35.418,35.124,34.675
30720,8192,100,0.003,36.081,35.788,34.991
30720,8192,200,0.007,39.744,38.967,36.598
