Image Height (pixels),Image Width (pixels),Replication Count,Whole-Level Memory (MB),LevelByLevel Memory (MB),Taskflow Memory (MB),Whole-Level CPU (%),LevelByLevel CPU (%), Taskflow CPU (%)
30720,8192,1,3674.61,3676.76,3677.34,14.3695,8.2798,8.28269
30720,8192,2,3690.48,3689.07,3691.36,15.9156,9.60088,9.59238
30720,8192,3,3703.99,3700.75,3703.47,15.9628,9.60965,9.67756
30720,8192,5,3689.31,3687.04,3692.81,15.995,9.72083,9.72861
30720,8192,10,3709.98,3713.73,3710.13,16.309,9.98376,10.0036
30720,8192,12,3703.62,3740.64,3736.02,16.5055,10.1476,10.1185
30720,8192,20,3729.48,3732.29,3709.98,16.6474,10.4377,10.4125
30720,8192,30,3732.41,3730.69,3732.78,17.2755,10.9485,10.7408
30720,8192,50,3778.21,3778.55,3745.11,17.9985,11.8102,11.277
30720,8192,80,3841.75,3854.09,3721.28,19.0979,13.1291,12.3864
30720,8192,100,3888.24,3885.98,3747.59,20.019,13.9254,12.6943
30720,8192,200,4791.16,4797.14,3754.51,23.7005,18.1005,15.2027
