Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
7680,8192,1,0.002,10.16,10.047,10.05
7680,8192,2,0.002,8.129,8.072,8.073
7680,8192,3,0.002,8.119,8.001,8.062
7680,8192,5,0.002,8.084,8.051,7.946
7680,8192,10,0.002,8.086,7.937,8.009
7680,8192,12,0.002,8.139,8.055,8.11
7680,8192,20,0.002,8.341,8.248,8.279
7680,8192,30,0.002,8.568,8.489,8.339
7680,8192,50,0.002,9.101,8.877,8.639
7680,8192,80,0.003,9.77,9.549,9.026
7680,8192,100,0.003,10.238,10.363,9.21
7680,8192,200,0.005,13.268,13.829,10.522
