Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
50688,8192,1,0.002,74.021,72.094,71.995
50688,8192,2,0.002,59.29,58.858,58.783
50688,8192,3,0.002,59.074,58.537,58.491
50688,8192,5,0.002,59.027,58.424,58.509
50688,8192,10,0.002,59.102,58.454,58.705
50688,8192,12,0.002,58.95,58.581,58.537
50688,8192,20,0.002,59.375,58.855,58.702
50688,8192,30,0.003,59.457,59.035,59.182
50688,8192,50,0.002,60.137,59.572,59.147
50688,8192,80,0.004,61.188,60.811,59.682
50688,8192,100,0.004,61.39,60.962,60.152
50688,8192,200,0.007,64.927,64.797,61.755
