Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
3072,8192,1,0.001,4.072,4.12,4.054
3072,8192,2,0.002,3.282,3.255,3.268
3072,8192,3,0.001,3.272,3.273,3.263
3072,8192,5,0.002,3.281,3.285,3.261
3072,8192,10,0.003,3.361,3.301,3.287
3072,8192,12,0.002,3.391,3.401,3.39
3072,8192,20,0.002,3.58,3.49,3.557
3072,8192,30,0.002,3.822,3.736,3.642
3072,8192,50,0.002,4.248,4.231,3.843
3072,8192,80,0.003,4.901,4.793,4.26
3072,8192,100,0.003,5.541,5.387,4.61
3072,8192,200,0.005,8.625,8.554,6.427
