Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
10752,8192,1,0.002,14.34,14.214,14.162
10752,8192,2,0.002,11.359,11.295,11.236
10752,8192,3,0.002,11.243,11.741,11.099
10752,8192,5,0.002,11.247,11.119,11.128
10752,8192,10,0.002,11.336,11.147,11.249
10752,8192,12,0.002,11.354,11.287,11.219
10752,8192,20,0.002,11.586,11.495,11.44
10752,8192,30,0.002,11.795,11.754,11.586
10752,8192,50,0.003,12.31,12.048,11.868
10752,8192,80,0.003,12.924,12.753,12.173
10752,8192,100,0.003,13.532,13.453,12.74
10752,8192,200,0.006,17.332,16.918,13.734
