Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
30720,8192,1,0.002,42.98,42.28,41.318
30720,8192,2,0.002,33.875,33.589,33.475
30720,8192,3,0.002,33.858,33.53,33.51
30720,8192,5,0.002,33.754,33.541,33.566
30720,8192,10,0.002,34.157,33.488,33.496
30720,8192,12,0.002,33.841,33.583,33.556
30720,8192,20,0.002,34.376,33.795,33.804
30720,8192,30,0.002,34.556,34,34.083
30720,8192,50,0.003,34.721,34.397,34.218
30720,8192,80,0.003,35.341,35.423,34.776
30720,8192,100,0.004,36.092,35.909,35.042
30720,8192,200,0.007,39.902,39.286,36.347
