Image Height (pixels),Image Width (pixels),Replication Count,Whole-Level Memory (MB),LevelByLevel Memory (MB),Taskflow Memory (MB),Whole-Level CPU (%),LevelByLevel CPU (%), Taskflow CPU (%)
7680,8192,1,974.664,974.18,975.547,14.5342,8.15987,8.16073
7680,8192,2,973.793,977.098,975.594,15.5876,9.52255,9.4988
7680,8192,3,975.945,975.531,975.961,15.8377,9.66911,9.6571
7680,8192,5,978.387,987.434,986.828,16.2351,9.95687,10.1048
7680,8192,10,1009.24,998.414,1001.5,17.2438,11.1763,11.1083
7680,8192,12,1001.77,1017.19,1016.51,17.5451,11.8269,11.8122
7680,8192,20,1021.21,1020.69,1014.38,19.1854,13.0629,12.6588
7680,8192,30,1127.41,1126.25,1012.65,20.7705,14.826,14.0386
7680,8192,50,1275.34,1298.12,1018.09,23.6959,18.5384,16.4046
7680,8192,80,1533.1,1560.07,1021.98,27.9465,22.0784,19.4198
7680,8192,100,1704.67,1722.31,1031.91,30.437,25.2426,21.599
7680,8192,200,2463.38,2458.38,1040.79,40.0106,36.5358,30.9782
