Image Height (pixels),Image Width (pixels),Replication Count,Whole-Level Memory (MB),LevelByLevel Memory (MB),Taskflow Memory (MB),Whole-Level CPU (%),LevelByLevel CPU (%), Taskflow CPU (%)
30720,8192,1,3676.24,3676.93,3677.62,14.8407,8.27839,8.28432
30720,8192,2,3693.26,3689.44,3690.69,15.9671,9.59171,9.57539
30720,8192,3,3704.77,3701.42,3706.26,15.9897,9.6147,9.62326
30720,8192,5,3688.58,3691.16,3693.08,16.1099,9.76693,9.68913
30720,8192,10,3718.69,3710.23,3708.46,16.2975,10.022,9.99709
30720,8192,12,3739.85,3744.86,3733.16,16.4246,10.302,10.1345
30720,8192,20,3727.81,3730.98,3721.05,16.69,10.5406,10.4002
30720,8192,30,3734.98,3732.74,3737.06,17.1981,11.1073,10.7123
30720,8192,50,3773.2,3782.1,3753.66,17.9544,11.7593,11.2949
30720,8192,80,3850.31,3834.92,3729.01,19.1731,13.2341,12.1386
30720,8192,100,3891.02,3887.53,3743.98,20.0089,14.0572,12.542
30720,8192,200,4784.77,4794.59,3750.8,23.7695,17.9346,15.415
