Image Height (pixels),Image Width (pixels),Replication Count,Whole-Level Memory (MB),LevelByLevel Memory (MB),Taskflow Memory (MB),Whole-Level CPU (%),LevelByLevel CPU (%), Taskflow CPU (%)
768,8192,1,144.965,144.977,145.406,12.4979,6.95753,6.87267
768,8192,2,153.184,150.973,155.211,12.9326,8.517,8.17975
768,8192,3,166.992,163.824,168.895,14.8332,9.88454,9.68146
768,8192,5,194.395,185.707,186.672,17.4365,12.1618,11.3427
768,8192,10,253.055,251.523,259.512,26.1413,19.6706,20.307
768,8192,12,282.129,276.629,281.617,27.9829,24.2467,24.1647
768,8192,20,377.605,357.699,289.363,33.004,30.3353,27.7304
768,8192,30,426.148,444.594,299.145,42.8729,40.9823,34.9896
768,8192,50,515.699,568.199,290.738,51.3129,47.8629,41.6799
768,8192,80,694.098,664.359,294.895,56.2026,57.8018,51.3714
768,8192,100,750.828,777.031,290.57,64.2285,58.4779,55.3621
768,8192,200,1081.47,1113.33,291.297,63.8804,72.5716,64.8627
