Image Height (pixels),Image Width (pixels),Replication Count,Whole-Level Memory (MB),LevelByLevel Memory (MB),Taskflow Memory (MB),Whole-Level CPU (%),LevelByLevel CPU (%), Taskflow CPU (%)
10752,8192,1,1335.3,1335.22,1336.09,14.669,8.19219,8.18504
10752,8192,2,1332.32,1333.51,1335.82,15.9145,9.56275,9.70499
10752,8192,3,1348.09,1345.31,1345.46,15.8585,9.68096,9.71852
10752,8192,5,1351.67,1355.93,1338.33,16.0759,9.86924,9.81746
10752,8192,10,1352.39,1362.82,1360.06,17.2682,10.7358,11.0985
10752,8192,12,1360.88,1374.83,1356.45,17.3359,11.1955,11.2174
10752,8192,20,1379.54,1385.17,1370.41,18.1648,12.1235,12.4011
10752,8192,30,1412.69,1420.38,1382.37,19.3689,13.4862,12.6009
10752,8192,50,1582.74,1583.03,1379.34,21.9455,16.0721,14.4779
10752,8192,80,1838.81,1853.49,1383.66,24.9387,19.5355,16.9514
10752,8192,100,2007.55,2018.69,1386.26,27.3755,21.6854,18.4044
10752,8192,200,2798.92,2821.6,1410.77,35.3874,30.686,25.4626
