Image Height (pixels),Image Width (pixels),Replication Count,Whole-Level Memory (MB),LevelByLevel Memory (MB),Taskflow Memory (MB),Whole-Level CPU (%),LevelByLevel CPU (%), Taskflow CPU (%)
3072,8192,1,427.492,427.516,428.539,14.1292,7.84997,7.90795
3072,8192,2,435.211,435.398,434.535,15.3028,9.15502,9.38911
3072,8192,3,432.977,437.453,441.652,15.7391,9.56498,9.5557
3072,8192,5,441.59,439.934,444.316,15.9052,10.4632,10.378
3072,8192,10,462.617,476.02,469.145,19.1959,13.0344,13.0545
3072,8192,12,504.348,485.758,498.414,19.8574,13.8305,14.2281
3072,8192,20,586.742,568.695,488.066,22.9601,17.8967,16.6587
3072,8192,30,669.387,663.18,512.66,26.462,20.8757,18.7509
3072,8192,50,814.781,820.09,498.945,32.6457,26.8313,24.6151
3072,8192,80,997.309,1000.51,509.504,38.9925,35.5355,31.4066
3072,8192,100,1158.54,1153.23,505.445,44.4032,39.5613,35.7091
3072,8192,200,1481.43,1714.36,505.008,54.9666,52.1581,48.7448
