Image Height (pixels),Image Width (pixels),Replication Count,Whole-Level Memory (MB),LevelByLevel Memory (MB),Taskflow Memory (MB),Whole-Level CPU (%),LevelByLevel CPU (%), Taskflow CPU (%)
30720,8192,1,3674.83,3674.81,3677.24,14.8798,8.27649,8.27362
30720,8192,2,3690.24,3692.99,3692.19,15.9789,9.5944,9.5356
30720,8192,3,3706.23,3707.07,3707.46,15.9156,9.59031,9.66538
30720,8192,5,3693.12,3690.74,3688.1,16.0515,9.71507,9.728
30720,8192,10,3713.57,3712.66,3706.11,16.3411,9.94087,10.0358
30720,8192,12,3731.33,3742.59,3742.79,16.3539,10.1285,10.1493
30720,8192,20,3729.69,3733.06,3707.23,16.6666,11.4756,10.3236
30720,8192,30,3732.53,3735.25,3737.75,17.1687,10.8929,10.6574
30720,8192,50,3790.38,3772.85,3756.35,18.0969,11.8855,11.2732
30720,8192,80,3851.2,3843.87,3761.21,19.2586,13.1887,12.2703
30720,8192,100,3884.54,3884.73,3739.62,20.1687,14.0309,12.5731
30720,8192,200,4795.68,4805.43,3754.52,23.6816,17.868,15.2656
