Image Height (pixels),Image Width (pixels),Replication Count,Whole-Level Memory (MB),LevelByLevel Memory (MB),Taskflow Memory (MB),Whole-Level CPU (%),LevelByLevel CPU (%), Taskflow CPU (%)
768,8192,1,145.102,142.758,143.145,12.5001,6.8619,6.87088
768,8192,2,151.555,151.266,154.254,13.5833,8.15682,9.20085
768,8192,3,169.301,166.027,163.922,14.4784,9.32744,9.59055
768,8192,5,192.195,194.742,192.184,17.2345,11.2023,11.7495
768,8192,10,251.879,259.574,254.699,25.7318,18.8198,19.7317
768,8192,12,270.406,271.414,270.223,28.4584,25.3185,23.0513
768,8192,20,358.75,368.828,285.766,35.0586,29.1355,27.3997
768,8192,30,447.387,451.773,278.84,43.0971,37.4995,35.7503
768,8192,50,571.668,568.953,290.867,51.5863,45.7972,40.483
768,8192,80,674.594,657.125,280.594,53.7883,54.0582,49.7068
768,8192,100,782.645,719.023,290.367,60.9073,63.5367,57.0551
768,8192,200,1189.29,1172.59,289.902,64.1359,71.1776,64.1474
