Image Height (pixels),Image Width (pixels),Replication Count,Whole-Level Memory (MB),LevelByLevel Memory (MB),Taskflow Memory (MB),Whole-Level CPU (%),LevelByLevel CPU (%), Taskflow CPU (%)
7680,8192,1,973.027,971.973,974.516,14.5125,8.13131,8.16029
7680,8192,2,975.395,979.457,977.301,15.7083,9.68253,9.61698
7680,8192,3,979.328,975.695,978.586,15.7315,9.62121,9.54951
7680,8192,5,989.211,985.727,988.078,16.0681,10.0571,10.9197
7680,8192,10,1003.8,1000.34,987.773,17.2483,11.1493,11.3059
7680,8192,12,1003.45,1010.86,1008.54,17.7396,11.711,11.7242
7680,8192,20,1027.17,1024.7,1021.91,19.0505,12.9686,12.7347
7680,8192,30,1119.58,1130.37,1011.23,20.6617,14.8873,13.8444
7680,8192,50,1277.67,1285.11,1010.57,23.9884,18.0547,16.6011
7680,8192,80,1538.58,1575.95,1031.53,27.8894,22.6374,19.9196
7680,8192,100,1687.28,1710.01,1018.81,30.6379,25.5314,21.8013
7680,8192,200,2446.59,2497.44,1052.84,41.2407,37.1724,31.9031
