Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
50688,8192,1,0.002,74.879,72.358,72.216
50688,8192,2,0.002,59.264,58.541,58.64
50688,8192,3,0.002,59.109,58.401,58.494
50688,8192,5,0.002,58.877,58.487,58.683
50688,8192,10,0.002,58.846,58.519,58.695
50688,8192,12,0.002,59.186,58.551,58.541
50688,8192,20,0.002,59.406,58.781,58.832
50688,8192,30,0.003,59.607,59.376,59.49
50688,8192,50,0.003,60.133,59.566,59.376
50688,8192,80,0.004,60.833,60.638,59.839
50688,8192,100,0.004,61.338,61.163,60.099
50688,8192,200,0.007,64.823,64.544,61.752
