Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
3072,8192,1,0.002,4.095,4.022,4.036
3072,8192,2,0.002,3.277,3.262,3.269
3072,8192,3,0.002,3.265,3.26,3.241
3072,8192,5,0.002,3.264,3.248,3.263
3072,8192,10,0.002,3.333,3.315,3.321
3072,8192,12,0.002,3.402,3.379,3.434
3072,8192,20,0.002,3.601,3.531,3.487
3072,8192,30,0.002,3.844,3.813,3.622
3072,8192,50,0.002,4.236,4.177,3.9
3072,8192,80,0.003,4.889,4.866,4.221
3072,8192,100,0.003,5.545,5.655,4.498
3072,8192,200,0.005,8.387,8.105,6.48
