Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
10752,8192,1,0.001,14.353,14.202,14.242
10752,8192,2,0.002,11.359,11.266,11.329
10752,8192,3,0.002,11.234,11.094,11.132
10752,8192,5,0.002,11.228,11.219,11.165
10752,8192,10,0.002,11.294,11.209,11.143
10752,8192,12,0.002,11.332,11.224,11.231
10752,8192,20,0.002,11.669,11.526,11.438
10752,8192,30,0.002,11.731,11.713,11.56
10752,8192,50,0.003,12.349,12.133,11.788
10752,8192,80,0.003,12.91,12.849,12.222
10752,8192,100,0.004,13.569,13.365,12.372
10752,8192,200,0.006,16.941,17.243,13.689
