Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
768,8192,1,0.002,1.143,1.076,1.085
768,8192,2,0.002,0.929,0.908,0.917
768,8192,3,0.002,0.929,0.925,0.928
768,8192,5,0.002,0.948,0.932,0.95
768,8192,10,0.002,1.063,1.002,1.022
768,8192,12,0.002,1.092,1.067,1.087
768,8192,20,0.002,1.289,1.233,1.202
768,8192,30,0.002,1.528,1.41,1.367
768,8192,50,0.002,1.946,1.91,1.621
768,8192,80,0.003,2.712,2.517,2.197
768,8192,100,0.003,3.308,3.081,2.597
768,8192,200,0.005,6.735,6.233,4.54
