Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
30720,8192,1,0.002,43.16,42.59,41.674
30720,8192,2,0.002,33.87,33.495,33.473
30720,8192,3,0.002,33.667,33.463,33.521
30720,8192,5,0.002,33.906,33.99,33.462
30720,8192,10,0.002,33.916,33.637,33.559
30720,8192,12,0.002,33.847,33.562,33.644
30720,8192,20,0.002,34.158,33.814,33.711
30720,8192,30,0.003,34.419,34.198,33.941
30720,8192,50,0.003,34.86,34.528,34.346
30720,8192,80,0.004,35.686,35.404,34.765
30720,8192,100,0.003,36.084,35.658,34.917
30720,8192,200,0.006,39.536,39.048,36.479
