Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
7680,8192,1,0.002,10.164,10.06,10.021
7680,8192,2,0.002,8.123,8.018,8.063
7680,8192,3,0.002,8.111,8.032,8.024
7680,8192,5,0.002,8.069,8.06,8.089
7680,8192,10,0.002,8.114,7.978,8.057
7680,8192,12,0.002,8.136,8.007,8.1
7680,8192,20,0.002,8.342,8.39,8.213
7680,8192,30,0.002,8.566,8.519,8.322
7680,8192,50,0.002,9.034,8.797,8.585
7680,8192,80,0.003,9.757,9.583,9.012
7680,8192,100,0.003,10.202,10.204,9.184
7680,8192,200,0.005,13.488,13.846,10.504
