Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
7680,8192,1,0.002,10.255,10.114,10.095
7680,8192,2,0.002,8.127,8.036,8.062
7680,8192,3,0.002,8.139,8.081,8.1
7680,8192,5,0.002,8.14,8.152,7.995
7680,8192,10,0.002,8.078,8.099,8.043
7680,8192,12,0.002,8.123,8.106,8.12
7680,8192,20,0.002,8.359,8.344,8.196
7680,8192,30,0.002,8.64,8.572,8.321
7680,8192,50,0.002,9.025,8.885,8.613
7680,8192,80,0.003,9.967,9.696,9.055
7680,8192,100,0.004,10.483,10.137,9.222
7680,8192,200,0.005,13.778,14.086,10.629
