Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
50688,8192,1,0.001,74.985,72.591,72.542
50688,8192,2,0.002,59.352,58.66,58.577
50688,8192,3,0.002,59.066,58.528,58.483
50688,8192,5,0.002,58.979,58.61,58.458
50688,8192,10,0.002,58.921,58.441,58.481
50688,8192,12,0.002,59.042,58.533,58.532
50688,8192,20,0.003,59.36,58.927,58.639
50688,8192,30,0.003,59.779,59.318,59.109
50688,8192,50,0.003,59.964,59.606,59.443
50688,8192,80,0.004,60.843,60.529,59.792
50688,8192,100,0.003,61.366,61.134,60.114
50688,8192,200,0.007,65.074,64.875,61.891
