Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
768,8192,1,0.002,1.148,1.067,1.098
768,8192,2,0.002,0.929,0.916,0.923
768,8192,3,0.001,0.941,0.936,0.937
768,8192,5,0.002,0.945,0.971,0.94
768,8192,10,0.002,1.047,1.004,1.025
768,8192,12,0.002,1.1,1.076,1.077
768,8192,20,0.002,1.316,1.256,1.192
768,8192,30,0.002,1.507,1.504,1.381
768,8192,50,0.002,1.978,1.865,1.622
768,8192,80,0.003,2.674,2.54,2.211
768,8192,100,0.003,3.337,3.281,2.633
768,8192,200,0.006,6.574,6.108,4.644
