Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
10752,8192,1,0.002,14.416,14.182,14.198
10752,8192,2,0.002,11.418,11.3,11.295
10752,8192,3,0.002,11.322,11.173,11.18
10752,8192,5,0.002,11.291,11.267,11.166
10752,8192,10,0.003,11.305,11.303,11.203
10752,8192,12,0.002,11.455,11.308,11.273
10752,8192,20,0.002,11.626,11.712,11.471
10752,8192,30,0.002,11.811,11.669,11.519
10752,8192,50,0.002,12.375,12.114,11.824
10752,8192,80,0.003,13.064,12.752,12.315
10752,8192,100,0.003,13.714,13.403,12.445
10752,8192,200,0.006,16.852,17.025,13.833
