Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
3072,8192,1,0.001,4.092,4.041,4.051
3072,8192,2,0.002,3.306,3.252,3.276
3072,8192,3,0.001,3.307,3.271,3.299
3072,8192,5,0.002,3.341,3.265,3.27
3072,8192,10,0.002,3.429,3.318,3.346
3072,8192,12,0.002,3.441,3.449,3.396
3072,8192,20,0.002,3.631,3.593,3.497
3072,8192,30,0.002,3.876,3.866,3.661
3072,8192,50,0.002,4.31,4.258,3.889
3072,8192,80,0.003,4.952,4.883,4.253
3072,8192,100,0.003,5.653,5.599,4.6
3072,8192,200,0.005,8.867,8.018,6.513
