Image Height (pixels),Image Width (pixels),Replication Count,Whole-Level Memory (MB),LevelByLevel Memory (MB),Taskflow Memory (MB),Whole-Level CPU (%),LevelByLevel CPU (%), Taskflow CPU (%)
50688,8192,1,6018.52,6016.43,6016.91,14.944,8.29354,8.29085
50688,8192,2,6033.84,6031.98,6031.43,16.0018,9.56786,9.53057
50688,8192,3,6046.69,6045.34,6050.64,16.071,9.54974,9.52781
50688,8192,5,6072.34,6069.05,6067.24,16.0738,9.61396,9.61243
50688,8192,10,6076.95,6076.89,6076.66,16.2285,9.77511,9.81121
50688,8192,12,6099.76,6105.78,6104.8,16.2122,9.88436,9.84256
50688,8192,20,6056.84,6060.11,6071.48,16.4659,10.0567,10.0907
50688,8192,30,6077.54,6118.74,6055.38,16.7436,10.3755,10.2327
50688,8192,50,6148.84,6151.71,6117.71,17.2005,10.8217,10.6757
50688,8192,80,6205.09,6170.06,6086.43,17.9364,11.6877,10.9567
50688,8192,100,6212.89,6219.55,6093.71,18.4654,12.1179,11.2983
50688,8192,200,6692.61,6693.91,6110.28,20.7337,14.6854,12.9891
