Image Height (pixels),Image Width (pixels),Replication Count,Whole-Level Memory (MB),LevelByLevel Memory (MB),Taskflow Memory (MB),Whole-Level CPU (%),LevelByLevel CPU (%), Taskflow CPU (%)
3072,8192,1,427.52,425.473,428.957,14.0889,7.89699,7.89199
3072,8192,2,434.168,432.48,436.43,15.1546,9.38999,9.67876
3072,8192,3,432.578,436.898,442.582,15.7613,9.55605,9.65622
3072,8192,5,443.52,442.77,443.223,16.2477,10.4344,10.4094
3072,8192,10,479.586,462.637,481.609,19.0407,13.2776,12.9109
3072,8192,12,494.266,506.258,504.074,20.3644,14.2059,14.497
3072,8192,20,587.242,590.363,492.336,22.3195,16.9428,15.9969
3072,8192,30,661.707,674.824,506.055,26.2192,20.8651,19.1537
3072,8192,50,816.363,846.191,499.039,32.8263,26.7105,23.8638
3072,8192,80,1003.33,1063.26,505.496,40.9682,34.7118,31.7661
3072,8192,100,1146.62,1201.48,515.035,45.1483,40.6133,36.8135
3072,8192,200,1692.28,1645.74,507.699,52.4013,53.1482,48.6227
