Image Height (pixels),Image Width (pixels),Replication Count,Whole-Level Memory (MB),LevelByLevel Memory (MB),Taskflow Memory (MB),Whole-Level CPU (%),LevelByLevel CPU (%), Taskflow CPU (%)
10752,8192,1,1335.2,1335.01,1334.48,14.6683,8.17863,8.20626
10752,8192,2,1333.66,1332.77,1334.94,15.7063,9.58213,9.59844
10752,8192,3,1352.63,1347.81,1347.88,15.8698,9.73633,9.68505
10752,8192,5,1354.33,1357.85,1358.2,16.1504,9.96328,9.91402
10752,8192,10,1369.02,1358.53,1353.18,16.9678,10.7635,10.773
10752,8192,12,1366.27,1376.34,1357.36,17.3617,11.2016,11.2594
10752,8192,20,1376.41,1375.35,1377.37,18.287,12.3116,11.9125
10752,8192,30,1412.86,1412.23,1374.39,19.3025,13.4257,12.8596
10752,8192,50,1568.77,1576.42,1386.84,21.8496,16.0055,14.5678
10752,8192,80,1842.83,1833.32,1375.68,25.2462,19.0639,16.8917
10752,8192,100,2016.24,2019.11,1383.71,27.265,21.4837,18.3861
10752,8192,200,2803.08,2842.34,1410,35.446,30.9945,25.7402
