Image Height (pixels),Image Width (pixels),Replication Count,Whole-Level Memory (MB),LevelByLevel Memory (MB),Taskflow Memory (MB),Whole-Level CPU (%),LevelByLevel CPU (%), Taskflow CPU (%)
3072,8192,1,427.773,427.609,426.43,14.1122,7.8747,8.00915
3072,8192,2,432.863,433.219,432.891,15.1573,9.40403,9.37017
3072,8192,3,431.758,432.238,442.574,15.811,9.53891,9.68697
3072,8192,5,444.758,442.578,441.809,16.4461,10.3595,10.1669
3072,8192,10,466.078,478.898,479.871,18.6506,12.7756,13.0677
3072,8192,12,480.805,485.195,513.113,19.872,14.0841,13.9114
3072,8192,20,587.512,575.074,480.91,23.2306,17.6479,16.7235
3072,8192,30,667.781,666.703,504.844,26.6158,20.2144,19.2554
3072,8192,50,814.387,835.359,504.93,32.7298,26.4383,23.9931
3072,8192,80,990.766,995.477,512.523,40.9034,35.3982,31.095
3072,8192,100,1178.36,1114.62,516.773,44.9181,40.8107,35.9072
3072,8192,200,1628.15,1659.55,519.762,51.2395,50.7535,47.8911
