Image Height (pixels),Image Width (pixels),Replication Count,Whole-Level Memory (MB),LevelByLevel Memory (MB),Taskflow Memory (MB),Whole-Level CPU (%),LevelByLevel CPU (%), Taskflow CPU (%)
768,8192,1,145.086,145.496,146.578,12.1763,6.87984,6.86951
768,8192,2,151.621,154.02,151.77,13.301,8.52276,8.56936
768,8192,3,167.832,168.258,166.469,14.5492,9.09143,9.4812
768,8192,5,195.207,197.785,188.484,16.7759,11.5163,11.6554
768,8192,10,257.781,257.805,245.473,26.0037,19.7823,19.2167
768,8192,12,285.555,294.805,279.605,28.6926,23.5405,23.9702
768,8192,20,363.184,371.609,277.188,34.1545,29.3509,27.4275
768,8192,30,447.57,446.133,294.008,42.4504,38.4865,33.7499
768,8192,50,580.52,527.574,286.617,51.2682,46.3576,40.2752
768,8192,80,659.754,639.941,289.68,58.2205,57.1106,49.8078
768,8192,100,711.086,752.84,292.648,62.6049,58.093,53.7935
768,8192,200,1074.82,1072.26,305.367,61.5473,69.6926,63.3595
